Time,Chan1,Chan2,Chan3,Chan4,Chan5,Chan6,Chan7,Chan8,Chan9,Chan10,Chan11,Chan12,Chan13,Chan14,Chan15,Chan16,Chan17,Chan18,Chan19,Chan20,Chan21,Chan22,Chan23,Chan24,Chan25,Chan26,Chan27,Chan28,Chan29,Chan30,Chan31,Chan32,Chan33
0.00000,0.12839,0.00127,-0.31222,0.09143,-0.01109,-0.00251,0.06364,-0.00461,-0.31689,-0.11410,0.08442,0.09517,0.16770,-0.33138,-1.24859,-0.13380,1.35478,0.34104,1.13897,-0.57233,-0.75080,1.33004,-0.44348,-0.34934,-0.84583,-0.48872,-0.22894,-0.32664,0.43419,0.37376,-0.80943,-0.05461,-0.50616
0.00200,0.11375,-0.04178,-0.25270,0.02941,-0.01352,0.10439,0.04041,0.10021,-0.42924,-0.25096,0.25296,0.38084,0.01169,0.06596,-2.11187,-0.54941,2.85906,-0.48085,1.69494,-0.89059,0.23981,4.74747,-0.31244,-0.89401,-0.26087,-1.23175,0.09787,-0.23969,0.34634,0.62643,-1.03963,-0.33699,-1.47667
0.00400,0.03679,-0.05395,-0.18659,0.00608,0.08896,0.06059,-0.77080,0.02417,-0.08489,-0.29875,0.23009,0.20452,0.01481,0.29671,-2.16727,-0.40205,2.15308,-0.45490,0.09332,-0.63701,0.77522,4.05871,-0.47873,-1.16793,0.11411,-1.33675,-0.05353,-0.01213,-1.29641,0.27294,-0.38646,-0.46026,-1.33198
0.00600,0.06744,-0.04135,0.02868,-0.02732,0.07746,-0.02538,0.03123,-0.51277,0.08104,-0.28883,-0.43119,-0.20318,0.07955,-0.52326,-0.90993,-0.43668,0.64649,2.47975,-2.42185,0.28841,0.90582,-0.07303,-0.51128,-0.99474,-0.59041,-0.60292,-0.59562,0.28007,0.32535,-1.09171,0.21220,-0.49893,0.68652
0.00800,0.11855,-0.01114,-0.23088,0.11485,0.00660,-0.05987,0.13040,-0.79085,-0.04354,-0.36741,-0.32883,-0.16079,0.22031,-0.69799,0.34500,-0.67141,-0.06341,3.40269,-2.50252,0.04013,2.53618,0.15064,-0.92202,-0.43521,-1.37503,0.48409,-1.05701,0.32098,0.57153,-1.71583,-0.07125,-1.35885,1.46184
0.01000,0.14100,0.01519,-0.34032,0.20984,0.00767,-0.25673,0.05014,-0.16611,-0.12378,-0.44595,-0.45870,0.02854,0.30388,-0.64559,-0.48491,-0.12853,-0.37452,0.36428,-1.93022,-0.10581,2.35370,-0.15064,-1.14599,-0.08429,-1.50512,0.11472,-0.61666,-0.54645,0.44448,0.10458,-0.21588,-1.23310,-0.04299
0.01200,0.10797,0.01085,-0.24654,0.13299,0.01310,0.06741,-0.47872,0.14246,-0.15336,0.25217,-0.27433,0.19246,-0.10521,-0.15777,-1.68502,0.79533,2.29612,-3.97991,1.78227,-0.15576,0.58816,-0.33554,-0.96003,-0.71185,-0.76215,-0.87467,0.15753,-0.16137,-0.77568,0.47706,-0.26982,0.80863,0.00518
0.01400,0.03056,-0.02098,0.27333,0.01554,0.00394,0.08931,-0.83780,0.01310,-0.48118,0.54735,-0.09624,0.35170,-0.16483,0.01764,-2.51616,0.86845,3.04384,-3.50853,-0.25405,-1.74590,0.91117,-0.82037,-0.42878,-1.41829,0.45328,-1.68422,0.37757,-0.09206,-1.37628,0.16524,-1.42002,1.68497,0.23806
0.01600,-0.01506,-0.02120,0.23807,-0.00483,0.24792,-0.00685,-0.03621,-0.08369,-0.35279,-0.11310,0.03091,0.42028,-0.14507,-0.40942,-1.49491,-0.42549,0.96444,-3.04901,-1.39102,-1.06157,0.71008,-1.07770,-0.11735,-1.54106,0.00086,-1.13181,0.11067,0.26277,0.27800,-0.06183,-1.01010,-0.25716,0.45395
0.01800,0.06576,0.00089,-0.05282,-0.03269,0.02559,-0.22851,0.14924,-0.13131,0.32579,-0.02179,0.10903,-0.39875,0.00098,-0.68406,0.35697,0.06248,-2.99811,3.27242,-1.71274,1.39332,-0.02105,-0.90954,-0.71900,-0.77983,-1.06250,-0.05499,-0.78852,-0.06207,0.53743,-0.17279,0.66161,0.00372,0.55655
